goal,working_memory,correct_agent
Assess urgency of new bugs in fitness,"Tasks: frontend, backend, testing for fitness",priority_assessor
Assess urgency of new bugs in travel,"Tasks: frontend, backend, testing for travel",priority_assessor
Prioritize all incoming tasks for healthcare,"Tasks: frontend, backend, testing for healthcare",priority_assessor
Assess urgency of new bugs in retail,"Tasks: frontend, backend, testing for retail",priority_assessor
Assess urgency of new bugs in travel,"Tasks: frontend, backend, testing for travel",priority_assessor
Evaluate task importance in healthcare sprint,"Tasks: frontend, backend, testing for healthcare",priority_assessor
Prioritize all incoming tasks for travel,"Tasks: frontend, backend, testing for travel",priority_assessor
Evaluate task importance in travel sprint,"Tasks: frontend, backend, testing for travel",priority_assessor
Evaluate task importance in finance sprint,"Tasks: frontend, backend, testing for finance",priority_assessor
Prioritize all incoming tasks for healthcare,"Tasks: frontend, backend, testing for healthcare",priority_assessor
Prioritize all incoming tasks for eCommerce,"Tasks: frontend, backend, testing for eCommerce",priority_assessor
Evaluate task importance in travel sprint,"Tasks: frontend, backend, testing for travel",priority_assessor
Assess urgency of new bugs in education,"Tasks: frontend, backend, testing for education",priority_assessor
Evaluate task importance in travel sprint,"Tasks: frontend, backend, testing for travel",priority_assessor
Prioritize all incoming tasks for AI,"Tasks: frontend, backend, testing for AI",priority_assessor
Prioritize all incoming tasks for logistics,"Tasks: frontend, backend, testing for logistics",priority_assessor
Prioritize all incoming tasks for logistics,"Tasks: frontend, backend, testing for logistics",priority_assessor
Evaluate task importance in logistics sprint,"Tasks: frontend, backend, testing for logistics",priority_assessor
Evaluate task importance in fitness sprint,"Tasks: frontend, backend, testing for fitness",priority_assessor
Evaluate task importance in eCommerce sprint,"Tasks: frontend, backend, testing for eCommerce",priority_assessor
Assess urgency of new bugs in healthcare,"Tasks: frontend, backend, testing for healthcare",priority_assessor
Prioritize all incoming tasks for travel,"Tasks: frontend, backend, testing for travel",priority_assessor
Evaluate task importance in finance sprint,"Tasks: frontend, backend, testing for finance",priority_assessor
Prioritize all incoming tasks for music,"Tasks: frontend, backend, testing for music",priority_assessor
Prioritize all incoming tasks for finance,"Tasks: frontend, backend, testing for finance",priority_assessor
Assess urgency of new bugs in finance,"Tasks: frontend, backend, testing for finance",priority_assessor
Prioritize all incoming tasks for retail,"Tasks: frontend, backend, testing for retail",priority_assessor
Evaluate task importance in music sprint,"Tasks: frontend, backend, testing for music",priority_assessor
Evaluate task importance in logistics sprint,"Tasks: frontend, backend, testing for logistics",priority_assessor
Evaluate task importance in education sprint,"Tasks: frontend, backend, testing for education",priority_assessor
Evaluate task importance in music sprint,"Tasks: frontend, backend, testing for music",priority_assessor
Prioritize all incoming tasks for eCommerce,"Tasks: frontend, backend, testing for eCommerce",priority_assessor
Assess urgency of new bugs in finance,"Tasks: frontend, backend, testing for finance",priority_assessor
Evaluate task importance in fitness sprint,"Tasks: frontend, backend, testing for fitness",priority_assessor
Assess urgency of new bugs in fitness,"Tasks: frontend, backend, testing for fitness",priority_assessor
Prioritize all incoming tasks for logistics,"Tasks: frontend, backend, testing for logistics",priority_assessor
Prioritize all incoming tasks for music,"Tasks: frontend, backend, testing for music",priority_assessor
Evaluate task importance in logistics sprint,"Tasks: frontend, backend, testing for logistics",priority_assessor
Evaluate task importance in AI sprint,"Tasks: frontend, backend, testing for AI",priority_assessor
Prioritize all incoming tasks for fitness,"Tasks: frontend, backend, testing for fitness",priority_assessor
Prioritize all incoming tasks for logistics,"Tasks: frontend, backend, testing for logistics",priority_assessor
Evaluate task importance in fitness sprint,"Tasks: frontend, backend, testing for fitness",priority_assessor
Assess urgency of new bugs in travel,"Tasks: frontend, backend, testing for travel",priority_assessor
Assess urgency of new bugs in retail,"Tasks: frontend, backend, testing for retail",priority_assessor
Evaluate task importance in AI sprint,"Tasks: frontend, backend, testing for AI",priority_assessor
Assess urgency of new bugs in retail,"Tasks: frontend, backend, testing for retail",priority_assessor
Assess urgency of new bugs in retail,"Tasks: frontend, backend, testing for retail",priority_assessor
Evaluate task importance in fitness sprint,"Tasks: frontend, backend, testing for fitness",priority_assessor
Assess urgency of new bugs in AI,"Tasks: frontend, backend, testing for AI",priority_assessor
Prioritize all incoming tasks for healthcare,"Tasks: frontend, backend, testing for healthcare",priority_assessor
Evaluate task importance in logistics sprint,"Tasks: frontend, backend, testing for logistics",priority_assessor
Prioritize all incoming tasks for retail,"Tasks: frontend, backend, testing for retail",priority_assessor
Prioritize all incoming tasks for AI,"Tasks: frontend, backend, testing for AI",priority_assessor
Assess urgency of new bugs in fitness,"Tasks: frontend, backend, testing for fitness",priority_assessor
Evaluate task importance in fitness sprint,"Tasks: frontend, backend, testing for fitness",priority_assessor
Assess urgency of new bugs in retail,"Tasks: frontend, backend, testing for retail",priority_assessor
Assess urgency of new bugs in eCommerce,"Tasks: frontend, backend, testing for eCommerce",priority_assessor
Evaluate task importance in eCommerce sprint,"Tasks: frontend, backend, testing for eCommerce",priority_assessor
Evaluate task importance in fitness sprint,"Tasks: frontend, backend, testing for fitness",priority_assessor
Evaluate task importance in logistics sprint,"Tasks: frontend, backend, testing for logistics",priority_assessor
Evaluate task importance in eCommerce sprint,"Tasks: frontend, backend, testing for eCommerce",priority_assessor
Assess urgency of new bugs in travel,"Tasks: frontend, backend, testing for travel",priority_assessor
Evaluate task importance in finance sprint,"Tasks: frontend, backend, testing for finance",priority_assessor
Assess urgency of new bugs in education,"Tasks: frontend, backend, testing for education",priority_assessor
Evaluate task importance in finance sprint,"Tasks: frontend, backend, testing for finance",priority_assessor
Prioritize all incoming tasks for logistics,"Tasks: frontend, backend, testing for logistics",priority_assessor
Assess urgency of new bugs in finance,"Tasks: frontend, backend, testing for finance",priority_assessor
Prioritize all incoming tasks for music,"Tasks: frontend, backend, testing for music",priority_assessor
Prioritize all incoming tasks for logistics,"Tasks: frontend, backend, testing for logistics",priority_assessor
Assess urgency of new bugs in travel,"Tasks: frontend, backend, testing for travel",priority_assessor
Prioritize all incoming tasks for AI,"Tasks: frontend, backend, testing for AI",priority_assessor
Prioritize all incoming tasks for education,"Tasks: frontend, backend, testing for education",priority_assessor
Evaluate task importance in education sprint,"Tasks: frontend, backend, testing for education",priority_assessor
Prioritize all incoming tasks for music,"Tasks: frontend, backend, testing for music",priority_assessor
Evaluate task importance in logistics sprint,"Tasks: frontend, backend, testing for logistics",priority_assessor
Assess urgency of new bugs in finance,"Tasks: frontend, backend, testing for finance",priority_assessor
Assess urgency of new bugs in logistics,"Tasks: frontend, backend, testing for logistics",priority_assessor
Evaluate task importance in music sprint,"Tasks: frontend, backend, testing for music",priority_assessor
Assess urgency of new bugs in music,"Tasks: frontend, backend, testing for music",priority_assessor
Assess urgency of new bugs in healthcare,"Tasks: frontend, backend, testing for healthcare",priority_assessor
Assess urgency of new bugs in finance,"Tasks: frontend, backend, testing for finance",priority_assessor
Prioritize all incoming tasks for logistics,"Tasks: frontend, backend, testing for logistics",priority_assessor
Evaluate task importance in travel sprint,"Tasks: frontend, backend, testing for travel",priority_assessor
Assess urgency of new bugs in logistics,"Tasks: frontend, backend, testing for logistics",priority_assessor
Prioritize all incoming tasks for education,"Tasks: frontend, backend, testing for education",priority_assessor
Prioritize all incoming tasks for music,"Tasks: frontend, backend, testing for music",priority_assessor
Prioritize all incoming tasks for education,"Tasks: frontend, backend, testing for education",priority_assessor
Assess urgency of new bugs in logistics,"Tasks: frontend, backend, testing for logistics",priority_assessor
Evaluate task importance in logistics sprint,"Tasks: frontend, backend, testing for logistics",priority_assessor
Prioritize all incoming tasks for education,"Tasks: frontend, backend, testing for education",priority_assessor
Assess urgency of new bugs in logistics,"Tasks: frontend, backend, testing for logistics",priority_assessor
Evaluate task importance in logistics sprint,"Tasks: frontend, backend, testing for logistics",priority_assessor
Evaluate task importance in education sprint,"Tasks: frontend, backend, testing for education",priority_assessor
Prioritize all incoming tasks for healthcare,"Tasks: frontend, backend, testing for healthcare",priority_assessor
Assess urgency of new bugs in AI,"Tasks: frontend, backend, testing for AI",priority_assessor
Suggest owners for music tickets,"Unassigned tasks: login, dashboard, API",assignee_recommender
Assign team members to open music tasks,"Unassigned tasks: login, dashboard, API",assignee_recommender
Distribute music sprint tickets among engineers,"Unassigned tasks: login, dashboard, API",assignee_recommender
Distribute finance sprint tickets among engineers,"Unassigned tasks: login, dashboard, API",assignee_recommender
Suggest owners for retail tickets,"Unassigned tasks: login, dashboard, API",assignee_recommender
Assign team members to open healthcare tasks,"Unassigned tasks: login, dashboard, API",assignee_recommender
Suggest owners for finance tickets,"Unassigned tasks: login, dashboard, API",assignee_recommender
Assign team members to open travel tasks,"Unassigned tasks: login, dashboard, API",assignee_recommender
Distribute education sprint tickets among engineers,"Unassigned tasks: login, dashboard, API",assignee_recommender
Distribute finance sprint tickets among engineers,"Unassigned tasks: login, dashboard, API",assignee_recommender
Suggest owners for finance tickets,"Unassigned tasks: login, dashboard, API",assignee_recommender
Distribute retail sprint tickets among engineers,"Unassigned tasks: login, dashboard, API",assignee_recommender
Distribute fitness sprint tickets among engineers,"Unassigned tasks: login, dashboard, API",assignee_recommender
Suggest owners for education tickets,"Unassigned tasks: login, dashboard, API",assignee_recommender
Distribute fitness sprint tickets among engineers,"Unassigned tasks: login, dashboard, API",assignee_recommender
Assign team members to open AI tasks,"Unassigned tasks: login, dashboard, API",assignee_recommender
Assign team members to open education tasks,"Unassigned tasks: login, dashboard, API",assignee_recommender
Distribute fitness sprint tickets among engineers,"Unassigned tasks: login, dashboard, API",assignee_recommender
Suggest owners for travel tickets,"Unassigned tasks: login, dashboard, API",assignee_recommender
Suggest owners for AI tickets,"Unassigned tasks: login, dashboard, API",assignee_recommender
Assign team members to open finance tasks,"Unassigned tasks: login, dashboard, API",assignee_recommender
Assign team members to open healthcare tasks,"Unassigned tasks: login, dashboard, API",assignee_recommender
Suggest owners for music tickets,"Unassigned tasks: login, dashboard, API",assignee_recommender
Distribute retail sprint tickets among engineers,"Unassigned tasks: login, dashboard, API",assignee_recommender
Suggest owners for AI tickets,"Unassigned tasks: login, dashboard, API",assignee_recommender
Assign team members to open finance tasks,"Unassigned tasks: login, dashboard, API",assignee_recommender
Distribute fitness sprint tickets among engineers,"Unassigned tasks: login, dashboard, API",assignee_recommender
Assign team members to open travel tasks,"Unassigned tasks: login, dashboard, API",assignee_recommender
Distribute retail sprint tickets among engineers,"Unassigned tasks: login, dashboard, API",assignee_recommender
Assign team members to open healthcare tasks,"Unassigned tasks: login, dashboard, API",assignee_recommender
Assign team members to open logistics tasks,"Unassigned tasks: login, dashboard, API",assignee_recommender
Distribute travel sprint tickets among engineers,"Unassigned tasks: login, dashboard, API",assignee_recommender
Suggest owners for fitness tickets,"Unassigned tasks: login, dashboard, API",assignee_recommender
Suggest owners for retail tickets,"Unassigned tasks: login, dashboard, API",assignee_recommender
Assign team members to open travel tasks,"Unassigned tasks: login, dashboard, API",assignee_recommender
Assign team members to open healthcare tasks,"Unassigned tasks: login, dashboard, API",assignee_recommender
Distribute education sprint tickets among engineers,"Unassigned tasks: login, dashboard, API",assignee_recommender
Distribute music sprint tickets among engineers,"Unassigned tasks: login, dashboard, API",assignee_recommender
Assign team members to open AI tasks,"Unassigned tasks: login, dashboard, API",assignee_recommender
Suggest owners for fitness tickets,"Unassigned tasks: login, dashboard, API",assignee_recommender
Assign team members to open travel tasks,"Unassigned tasks: login, dashboard, API",assignee_recommender
Distribute logistics sprint tickets among engineers,"Unassigned tasks: login, dashboard, API",assignee_recommender
Distribute finance sprint tickets among engineers,"Unassigned tasks: login, dashboard, API",assignee_recommender
Suggest owners for retail tickets,"Unassigned tasks: login, dashboard, API",assignee_recommender
Assign team members to open eCommerce tasks,"Unassigned tasks: login, dashboard, API",assignee_recommender
Suggest owners for AI tickets,"Unassigned tasks: login, dashboard, API",assignee_recommender
Distribute finance sprint tickets among engineers,"Unassigned tasks: login, dashboard, API",assignee_recommender
Distribute healthcare sprint tickets among engineers,"Unassigned tasks: login, dashboard, API",assignee_recommender
Assign team members to open healthcare tasks,"Unassigned tasks: login, dashboard, API",assignee_recommender
Suggest owners for finance tickets,"Unassigned tasks: login, dashboard, API",assignee_recommender
Distribute healthcare sprint tickets among engineers,"Unassigned tasks: login, dashboard, API",assignee_recommender
Suggest owners for AI tickets,"Unassigned tasks: login, dashboard, API",assignee_recommender
Distribute music sprint tickets among engineers,"Unassigned tasks: login, dashboard, API",assignee_recommender
Suggest owners for education tickets,"Unassigned tasks: login, dashboard, API",assignee_recommender
Assign team members to open travel tasks,"Unassigned tasks: login, dashboard, API",assignee_recommender
Assign team members to open AI tasks,"Unassigned tasks: login, dashboard, API",assignee_recommender
Distribute logistics sprint tickets among engineers,"Unassigned tasks: login, dashboard, API",assignee_recommender
Distribute retail sprint tickets among engineers,"Unassigned tasks: login, dashboard, API",assignee_recommender
Assign team members to open travel tasks,"Unassigned tasks: login, dashboard, API",assignee_recommender
Distribute music sprint tickets among engineers,"Unassigned tasks: login, dashboard, API",assignee_recommender
Suggest owners for education tickets,"Unassigned tasks: login, dashboard, API",assignee_recommender
Assign team members to open retail tasks,"Unassigned tasks: login, dashboard, API",assignee_recommender
Distribute eCommerce sprint tickets among engineers,"Unassigned tasks: login, dashboard, API",assignee_recommender
Assign team members to open education tasks,"Unassigned tasks: login, dashboard, API",assignee_recommender
Assign team members to open fitness tasks,"Unassigned tasks: login, dashboard, API",assignee_recommender
Distribute healthcare sprint tickets among engineers,"Unassigned tasks: login, dashboard, API",assignee_recommender
Assign team members to open eCommerce tasks,"Unassigned tasks: login, dashboard, API",assignee_recommender
Assign team members to open healthcare tasks,"Unassigned tasks: login, dashboard, API",assignee_recommender
Suggest owners for education tickets,"Unassigned tasks: login, dashboard, API",assignee_recommender
Assign team members to open travel tasks,"Unassigned tasks: login, dashboard, API",assignee_recommender
Assign team members to open retail tasks,"Unassigned tasks: login, dashboard, API",assignee_recommender
Assign team members to open logistics tasks,"Unassigned tasks: login, dashboard, API",assignee_recommender
Distribute healthcare sprint tickets among engineers,"Unassigned tasks: login, dashboard, API",assignee_recommender
Distribute retail sprint tickets among engineers,"Unassigned tasks: login, dashboard, API",assignee_recommender
Assign team members to open retail tasks,"Unassigned tasks: login, dashboard, API",assignee_recommender
Assign team members to open travel tasks,"Unassigned tasks: login, dashboard, API",assignee_recommender
Suggest owners for education tickets,"Unassigned tasks: login, dashboard, API",assignee_recommender
Suggest owners for finance tickets,"Unassigned tasks: login, dashboard, API",assignee_recommender
Assign team members to open eCommerce tasks,"Unassigned tasks: login, dashboard, API",assignee_recommender
Assign team members to open fitness tasks,"Unassigned tasks: login, dashboard, API",assignee_recommender
Assign team members to open travel tasks,"Unassigned tasks: login, dashboard, API",assignee_recommender
Distribute logistics sprint tickets among engineers,"Unassigned tasks: login, dashboard, API",assignee_recommender
Assign team members to open music tasks,"Unassigned tasks: login, dashboard, API",assignee_recommender
Suggest owners for travel tickets,"Unassigned tasks: login, dashboard, API",assignee_recommender
Assign team members to open logistics tasks,"Unassigned tasks: login, dashboard, API",assignee_recommender
Suggest owners for healthcare tickets,"Unassigned tasks: login, dashboard, API",assignee_recommender
Distribute retail sprint tickets among engineers,"Unassigned tasks: login, dashboard, API",assignee_recommender
Suggest owners for logistics tickets,"Unassigned tasks: login, dashboard, API",assignee_recommender
Assign team members to open travel tasks,"Unassigned tasks: login, dashboard, API",assignee_recommender
Assign team members to open logistics tasks,"Unassigned tasks: login, dashboard, API",assignee_recommender
Distribute eCommerce sprint tickets among engineers,"Unassigned tasks: login, dashboard, API",assignee_recommender
Assign team members to open education tasks,"Unassigned tasks: login, dashboard, API",assignee_recommender
Assign team members to open eCommerce tasks,"Unassigned tasks: login, dashboard, API",assignee_recommender
Distribute education sprint tickets among engineers,"Unassigned tasks: login, dashboard, API",assignee_recommender
Suggest owners for travel tickets,"Unassigned tasks: login, dashboard, API",assignee_recommender
Distribute logistics sprint tickets among engineers,"Unassigned tasks: login, dashboard, API",assignee_recommender
Suggest owners for music tickets,"Unassigned tasks: login, dashboard, API",assignee_recommender
Suggest owners for travel tickets,"Unassigned tasks: login, dashboard, API",assignee_recommender
Distribute healthcare sprint tickets among engineers,"Unassigned tasks: login, dashboard, API",assignee_recommender
Distribute retail sprint tickets among engineers,"Unassigned tasks: login, dashboard, API",assignee_recommender
Organize the backlog into Sprint 25,"Sprint 25: 5 tasks, 3 assignees",sprint_planner
Plan Sprint 15 for the healthcare project,"Sprint 15: 5 tasks, 3 assignees",sprint_planner
Organize the backlog into Sprint 15,"Sprint 15: 5 tasks, 3 assignees",sprint_planner
Plan Sprint 18 for the education project,"Sprint 18: 5 tasks, 3 assignees",sprint_planner
Allocate tasks to Sprint 12,"Sprint 12: 5 tasks, 3 assignees",sprint_planner
Plan Sprint 20 for the education project,"Sprint 20: 5 tasks, 3 assignees",sprint_planner
